sourceMedium,pageTitle,users,bounceRate,pageviews,pageviewsPerSession,avgTimeOnPage,Topic Code,Probability,Topic
facebook / cpc,"Sys NS Meninggal Dunia, Selamat Jalan!",4651.0,50.0,5557.0,44.1031746,77.22479339,0,1.0,Pemakaman Seniman
facebook / cpc,Pasha 'Ungu' Digugat DPRD Palu karena Nyanyi di Singapura,4597.0,50.0,4839.0,268.8333333,80.59018906,5,0.6321710736626261,Gaya Artis
facebook / cpc,"Gempa 6,4 SR Guncang Jakarta",3717.0,50.0,4220.0,78.14814815,256.0620985,2,1.0,Gempa Jakarta
facebook / cpc,Hijabers Cantik Ini Pakai Seragam Sekolah Naik Nissan GT-R,3448.0,86.34902075,3744.0,1.094416837,103.0573356,6,0.7820909387892692,Mobil Kepolisian
facebook / cpc,Video Truk Goyang dan Foto Jalan Retak Bukan Akibat Gempa Banten,3070.0,17.07077326,3430.0,1.123853211,14.56541726,7,0.7670103682588405,Hoax Gempa
facebook / cpc,Apakah Reza Artamevia Terlibat Pesta Seks Bersama Gatot?,395.0,0.0,2981.0,0.0,9.34890406,4,1.0,Maaf Publik
facebook / cpc,Goyangan Gempa Terasa Kuat di Perkantoran,2604.0,50.0,2918.0,81.05555556,111.4159292,5,1.0,Gaya Artis
facebook / cpc,Begini Gaya Nyentrik Pasha 'Ungu' yang Menuai Kontroversi,2316.0,39.74836906,2918.0,1.359739049,74.78128588,2,0.9218923213245048,Gempa Jakarta
facebook / cpc,Gempa Keras Guncang Jakarta,341.0,0.0,2334.0,0.0,20.49577068,8,1.0,Kontroversi Selebriti
facebook / cpc,"Dinda Syarif Terganggu Soal Kiki Farel, Netizen: Sok Ngartis, Cari Sensasi",610.0,43.27731092,1939.0,4.073529412,37.60640427,5,1.0,Gaya Artis
facebook / cpc,"Ribuan Koleksi Mobil Sultan Brunei, Ini Mobil Terbaiknya",341.0,0.0,1742.0,96.77777778,38.06815115,6,1.0,Mobil Kepolisian
facebook / cpc,"Dilaporkan ke Polisi, Ini Permohonan Maaf Felicya Angelista",171.0,0.0,1535.0,170.5555556,8.363087248,8,0.67213534885635,Kontroversi Selebriti
facebook / cpc,Anies Resmikan Pembangunan Rumah DP 0 Pertama di Pondok Kelapa,1167.0,69.31818182,1356.0,1.540909091,101.5893271,14,1.0,Sultan Brunei
facebook / cpc,2 Pelajar Semarang Ini Masih Sekolah Usai Bunuh Driver Taksi Online,1212.0,40.0,1320.0,29.33333333,227.6656627,12,0.9459971043096334,Pembangunan Jakarta
facebook / cpc,Ini Gaya Rambut Pasha 'Ungu' yang Dianggap Langgar Etika,1194.0,66.66666667,1248.0,46.22222222,134.1511111,11,1.0,Pelajar Kriminal
facebook / cpc,"Dinda Syarif Terganggu Soal Kiki Farel, Netizen: Sok Ngartis, Cari Sensasi",1149.0,4.812834225,1221.0,1.088235294,4.344919786,-1,0.0,lainnya
facebook / cpc,"Ribuan Koleksi Mobil Sultan Brunei, Ini Mobil Terbaiknya",1059.0,63.42756184,1194.0,2.109540636,97.59893993,-1,0.0,lainnya
facebook / cpc,"Dilaporkan ke Polisi, Ini Permohonan Maaf Felicya Angelista",952.0,62.5,1167.0,16.20833333,108.2403004,1,0.9815721394494672,Razia Driver
facebook / cpc,Anies Resmikan Pembangunan Rumah DP 0 Pertama di Pondok Kelapa,1077.0,100.0,1158.0,32.16666667,116.6842105,10,0.7986192368247546,Kejahatan Seksual
facebook / cpc,2 Pelajar Semarang Ini Masih Sekolah Usai Bunuh Driver Taksi Online,251.0,100.0,1140.0,63.33333333,36.66666667,-1,0.0,lainnya
facebook / cpc,Meme detikHOT: Dinda Syarif di Ganasnya Gerbong KRL Wanita,135.0,0.0,1122.0,124.6666667,2.814914645,4,0.5405824676892931,Maaf Publik
facebook / cpc,"Waspadai Hoax soal Gempa Banten, Termasuk Info dan Gambar Ini",458.0,66.66666667,1032.0,38.22222222,31.39920424,9,0.8365950890941622,TNI Felicya
facebook / cpc,"Selain Fake GPS, Order Fiktif Rongrong Ojek Online",682.0,0.0,1023.0,113.6666667,96.83215797,9,1.0,TNI Felicya
facebook / cpc,"Bentrokan LPI-FPI Vs Warga Pamekasan, Ini kata Kapolda Jatim",72.0,0.0,916.0,0.0,5.890829694,-1,0.0,lainnya
facebook / cpc,Konsep Penataan Tanah Abang ala Anies Diprotes Sopir Angkot!,63.0,0.0,907.0,0.0,35.17169374,13,1.0,Humor Belanja
facebook / cpc,2 Pelajar yang Lempar Batu hingga Tewaskan 1 Orang di Yogya Mabuk,206.0,0.0,880.0,0.0,4.551044084,0,1.0,Pemakaman Seniman
facebook / cpc,Sopir Angkot Bentangkan Spanduk Protes Penutupan Jalan Tanah Abang,323.0,0.0,835.0,0.0,12.18565941,0,0.8902376729517605,Pemakaman Seniman
facebook / cpc,Grab Gandeng Polisi Ungkap Kasus Driver Antar 'Tuyul' di Kota Lain,745.0,50.0,817.0,22.69444444,112.3045455,1,0.9125376711935044,Razia Driver
facebook / cpc,"Sebelum Mengantar 'Tuyul', Pengemudi Grab Ada yang Kerja di Bank",700.0,45.57377049,763.0,1.250819672,196.8619855,6,0.582928305242527,Mobil Kepolisian
facebook / cpc,Polisi Tangkap Kernet yang Perkosa Siswi SMK Hingga Punya Anak,278.0,33.33333333,745.0,27.59259259,62.60596546,0,0.9938873471471602,Pemakaman Seniman
facebook / cpc,"Heboh Dinda Syarif, Ini 8 Model Transgender yang Lebih Sukses dan Terkenal",126.0,0.0,745.0,0.0,8.042521994,10,0.9374687625323628,Kejahatan Seksual
facebook / cpc,Grab akan Razia Driver yang Antar 'Tuyul',144.0,0.0,736.0,0.0,13.54198473,4,0.5405824676892931,Maaf Publik
facebook / cpc,"Dilaporkan ke Polisi, Laudya Cynthia Bella Akhirnya Buka Suara",646.0,0.0,718.0,6.136752137,4.326807229,1,0.8910590589360953,Razia Driver
facebook / cpc,Foto: Penampilan Perdana Sanchez dalam Kostum 'Setan Merah',144.0,50.0,718.0,13.2962963,24.8477237,3,0.8795068300528185,Foto Kreatif
facebook / cpc,KPI Panggil Acara Dahsyat,637.0,83.30522766,718.0,1.21079258,108.9385475,9,0.6937310045318678,TNI Felicya
facebook / cpc,"50 Tahun Bertakhta, Sultan Brunei Keliling Naik Kereta Kencana Emas",584.0,18.55670103,709.0,1.46185567,51.63848921,2,0.9316938885408014,Gempa Jakarta
facebook / cpc,"Diprotes TNI AD, Pihak RCTI Minta Maaf",341.0,0.0,700.0,38.88888889,31.06262231,4,0.6811886547688711,Maaf Publik
facebook / cpc,"Dipolisikan, Laudya Cynthia Bella Bantah Gelapkan Uang",269.0,0.0,691.0,0.0,18.13309353,4,0.9915634038614806,Maaf Publik
facebook / cpc,"Selain Pasha 'Ungu', Artis Pria Indonesia Ini Juga Tampil dengan Rambut Man Bun",108.0,16.66666667,673.0,12.46296296,17.28343949,8,0.9395120411771106,Kontroversi Selebriti
facebook / cpc,Bajak-bajakan Pemain Antarklub Eropa,512.0,0.0,673.0,0.0,74.89840637,0,1.0,Pemakaman Seniman
facebook / cpc,"20 Produk Aneh Ini Dijual di Online Shop, Bikin Ngakak Hingga Geleng Kepala",117.0,20.0,664.0,14.75555556,85.14262295,3,0.9115108094953328,Foto Kreatif
facebook / cpc,"Tergeletak di Ruang Tamu, Anak Sebut Sys NS Kena Serangan Jantung",72.0,0.0,655.0,0.0,28.44918033,5,0.6447402175897129,Gaya Artis
facebook / cpc,Ini Dia Deretan Bunker Mewah Tahan Gempa,584.0,60.0,646.0,14.35555556,165.0,7,1.0,Hoax Gempa
facebook / cpc,Hujan Gerimis dan Tangisan Cucu saat Sys NS Dimasukkan ke Liang Lahat,81.0,0.0,646.0,23.92592593,33.50582363,3,1.0,Foto Kreatif
facebook / cpc,Gempa Keras Guncang Jakarta,512.0,33.33333333,637.0,23.59259259,5.535472973,9,1.0,TNI Felicya
facebook / cpc,"Tanggapi Aksi Pukul, Klub Moge: Harusnya Bisa Kontrol Diri",602.0,66.66666667,619.0,22.92592593,77.32541568,9,0.5585700424861183,TNI Felicya
facebook / cpc,Datsun Cross akan Jadi Mobil Polisi Juga seperti Nissan Almera?,63.0,0.0,610.0,0.0,9.660472973,0,1.0,Pemakaman Seniman
facebook / cpc,"Jokowi Minta Pemda Selaras dengan Pusat, ini Respons Anies",54.0,0.0,602.0,0.0,16.75088339,13,1.0,Humor Belanja
facebook / cpc,Kronologi Sys NS Ditemukan Pingsan hingga Meninggal Dunia,108.0,22.22222222,557.0,6.87654321,44.6902834,12,1.0,Pembangunan Jakarta
facebook / cpc,Ini Alasan 2 Siswa SMK Bunuh dan Rampok Driver Taksi di Semarang,126.0,100.0,557.0,61.88888889,35.31174089,7,1.0,Hoax Gempa
facebook / cpc,Mitra GrabCar Dimanjakan dengan Fitur Layanan dan Kesejahteraan,135.0,0.0,539.0,59.88888889,16.27148438,3,0.9115108094953328,Foto Kreatif
facebook / cpc,Biker Moge yang Tabrakan dengan SUV di Pakubuwono Anggota TNI,9.0,0.0,530.0,0.0,5.437735849,4,0.9139048742255912,Maaf Publik
facebook / cpc,Penyebab Perut Kembung Seperti Dialami Sys NS Sebelum Meninggal,467.0,50.0,521.0,28.94444444,53.61574074,14,1.0,Sultan Brunei
facebook / cpc,Andi Narogong Ungkap Peran Novanto cs di Proyek e-KTP,153.0,50.0,494.0,13.72222222,7.174672489,0,1.0,Pemakaman Seniman
facebook / cpc,Sheila Marcia Siap Polisikan Suami Soal KDRT,458.0,0.0,485.0,0.0,198.8787879,14,1.0,Sultan Brunei
facebook / cpc,Penampakan Rumah di Lebak yang Rusak Akibat Gempa Banten,377.0,0.0,485.0,0.0,249.559387,2,0.951911493128709,Gempa Jakarta
facebook / cpc,"Kata Jessica Soal 'Insiden' dengan Raffi, Ratu Felisha Nikah 30 April",260.0,0.0,485.0,0.0,7.325481799,0,0.8652732806042972,Pemakaman Seniman
facebook / cpc,Meme-Meme Kocak dari Transfer Sanchez-Mkhitaryan,162.0,0.0,485.0,0.0,15.82566586,8,1.0,Kontroversi Selebriti
facebook / cpc,Penampakan Zeni TNI AD yang Tembus Hutan Bangun Trans Papua,36.0,0.0,467.0,25.94444444,28.21818182,3,1.0,Foto Kreatif
facebook / cpc,"Tak Miring, Ini Penampakan Apartemen di Depok yang Viral Usai Gempa",27.0,0.0,458.0,0.0,16.05458515,-1,0.0,lainnya
facebook / cpc,"Antar 'Tuyul' Raih Rp 50 Juta, Pengemudi Grab: Kejar Setoran",296.0,0.0,458.0,50.88888889,67.09036145,4,0.6946642408325981,Maaf Publik
facebook / cpc,"Kata Jessica Soal 'Insiden' dengan Raffi, Ratu Felisha Nikah 30 April",189.0,0.0,449.0,49.88888889,36.1937046,0,1.0,Pemakaman Seniman
facebook / cpc,Meme-Meme Kocak dari Transfer Sanchez-Mkhitaryan,395.0,23.42007435,440.0,1.635687732,99.75796178,2,0.74719114534738,Gempa Jakarta
facebook / cpc,Penampakan Zeni TNI AD yang Tembus Hutan Bangun Trans Papua,189.0,0.0,440.0,0.0,17.34624697,0,0.8622398396529359,Pemakaman Seniman
facebook / cpc,"Tak Miring, Ini Penampakan Apartemen di Depok yang Viral Usai Gempa",54.0,100.0,431.0,47.88888889,26.58595642,-1,0.0,lainnya
facebook / cpc,Menhan Ryamizard Sebut AS Keberatan RI Beli Sukhoi,54.0,0.0,431.0,0.0,15.91415313,3,0.9284821498939196,Foto Kreatif
facebook / cpc,"Beredar Kabar Ada Gempa Susulan 7,4 SR Nanti Malam, BMKG: Hoax",45.0,0.0,422.0,0.0,32.6460396,12,1.0,Pembangunan Jakarta
facebook / cpc,Foto dan Video Ini Bukan karena Gempa Banten,90.0,100.0,422.0,46.88888889,23.69496021,2,0.6358519125921428,Gempa Jakarta
facebook / cpc,"Dinda Syarif Terganggu Soal Kiki Farel, Netizen: Sok Ngartis, Cari Sensasi",341.0,74.28571429,413.0,1.18,260.4444444,12,0.6876367878044326,Pembangunan Jakarta
facebook / cpc,"Ribuan Koleksi Mobil Sultan Brunei, Ini Mobil Terbaiknya",314.0,0.0,413.0,0.0,110.27897,2,0.8783500825753345,Gempa Jakarta
facebook / cpc,"Dilaporkan ke Polisi, Ini Permohonan Maaf Felicya Angelista",332.0,31.25,413.0,2.868055556,96.46627566,2,1.0,Gempa Jakarta
facebook / cpc,Anies Resmikan Pembangunan Rumah DP 0 Pertama di Pondok Kelapa,314.0,0.0,404.0,22.44444444,80.41967213,0,1.0,Pemakaman Seniman
facebook / cpc,2 Pelajar Semarang Ini Masih Sekolah Usai Bunuh Driver Taksi Online,99.0,50.0,404.0,22.44444444,23.35190616,-1,0.0,lainnya
facebook / cpc,Reza Artamevia Dianggap 'Cuci Tangan' dengan Laporkan Gatot,341.0,100.0,395.0,7.314814815,158.9055794,11,1.0,Pelajar Kriminal
facebook / cpc,"Messi Berjaket Go-Jek, Isyana Kini Jadi 'Korban' Dede Sunandar",278.0,0.0,395.0,0.0,229.8692308,15,1.0,Korupsi Proyek
facebook / cpc,"Foto: Jelang 100 Hari Kepemimpinan Anies-Sandi, Ini Kebijakannya",377.0,100.0,395.0,21.94444444,46.88095238,11,0.8718346442838347,Pelajar Kriminal
facebook / cpc,"Top 5 News: Jakarta Diguncang Gempa, Sys Ns Meninggal Dunia",117.0,0.0,386.0,42.88888889,48.49363057,7,1.0,Hoax Gempa
facebook / cpc,"Sys NS, Seniman yang Serba Bisa",377.0,100.0,386.0,14.2962963,149.7063492,1,0.9965326823642232,Razia Driver
facebook / cpc,"Dinilai Lecehkan TNI di Acara Dahsyat, Artis Felicya Dipolisikan",296.0,83.33333333,377.0,3.490740741,236.5194175,-1,0.0,lainnya
facebook / cpc,Foto: Utak-atik Posisi Main Alexis Sanchez di MU,27.0,100.0,368.0,40.88888889,12.87714286,-1,0.0,lainnya
facebook / cpc,Foto: Masjid di Kabupaten Bogor yang Ambruk karena Gempa Banten,332.0,0.0,368.0,0.0,79.48927039,6,1.0,Mobil Kepolisian
facebook / cpc,Daffa Wardhana Nilai Sys NS Orangtua yang Selalu Bawa Hal Positif,72.0,0.0,359.0,19.94444444,18.04024768,3,1.0,Foto Kreatif
facebook / cpc,Andi Narogong Ungkap Peran Novanto cs di Proyek e-KTP,323.0,50.0,350.0,9.722222222,170.8645418,11,0.983174284807802,Pelajar Kriminal
facebook / cpc,"Dipolisikan, Laudya Cynthia Bella Bantah Gelapkan Uang",81.0,0.0,350.0,0.0,18.55732484,4,1.0,Maaf Publik
facebook / cpc,"Selain Pasha 'Ungu', Artis Pria Indonesia Ini Juga Tampil dengan Rambut Man Bun",18.0,100.0,341.0,37.88888889,14.71084337,-1,0.0,lainnya
facebook / cpc,Bajak-bajakan Pemain Antarklub Eropa,27.0,0.0,341.0,0.0,14.48093842,13,1.0,Humor Belanja
facebook / cpc,"Beredar Kabar Ada Gempa Susulan 7,4 SR Nanti Malam, BMKG: Hoax",144.0,0.0,341.0,0.0,18.66932271,9,0.8365950890941622,TNI Felicya
facebook / cpc,Foto dan Video Ini Bukan karena Gempa Banten,117.0,0.0,332.0,0.0,6.058823529,0,1.0,Pemakaman Seniman
facebook / cpc,Foto: 11 Pemain dengan Gaji Tertinggi di Premier League,242.0,35.29411765,332.0,2.169934641,155.2276786,2,0.9218923213245048,Gempa Jakarta
facebook / cpc,"Merasa Tertipu Gatot Brajamusti, Reza Artamevia Minta Maaf kepada Keluarga",296.0,50.0,323.0,8.972222222,135.9508929,1,0.9125376711935044,Razia Driver
facebook / cpc,"Kabar Duka, Sys NS Meninggal Dunia",287.0,66.66666667,323.0,11.96296296,173.2176471,10,1.0,Kejahatan Seksual
google / cpc,Lihat Manisnya Gisel dan Gempita yang Nggak Bikin Makruh,206.0,27.77777778,323.0,1.99382716,85.03862661,2,0.8970992390876827,Gempa Jakarta
facebook / cpc,Juri Indonesia Idol Tak Tutup Mata tentang Video Syur Mirip Marion Jola,54.0,50.0,314.0,17.44444444,40.78438662,7,1.0,Hoax Gempa
facebook / cpc,Papa Idaman! Foto Kedekatan Seleb dan Anak Ini Bikin Gemas!,63.0,0.0,314.0,0.0,55.33770492,6,0.649343473624677,Mobil Kepolisian
facebook / cpc,"Sys NS, Seniman yang Serba Bisa",27.0,0.0,305.0,16.94444444,21.74216028,16,1.0,Foto Selebritis
facebook / cpc,"Dinilai Lecehkan TNI di Acara Dahsyat, Artis Felicya Dipolisikan",99.0,0.0,305.0,16.94444444,28.08264463,5,0.7019914143013758,Gaya Artis
facebook / cpc,Polisi Pelajari Laporan Artis Felicya yang Dinilai Lecehkan TNI,233.0,53.33333333,305.0,2.259259259,198.5804196,1,1.0,Razia Driver
facebook / cpc,"20 Produk Aneh Ini Dijual di Online Shop, Bikin Ngakak Hingga Geleng Kepala",242.0,64.54183267,305.0,1.215139442,449.8971963,12,0.9872143899279516,Pembangunan Jakarta
facebook / cpc,"Tergeletak di Ruang Tamu, Anak Sebut Sys NS Kena Serangan Jantung",287.0,62.5,305.0,4.236111111,103.208,-1,0.0,lainnya
facebook / cpc,Ini Dia Deretan Bunker Mewah Tahan Gempa,224.0,12.55813953,296.0,1.376744186,4.80669145,5,1.0,Gaya Artis
facebook / cpc,Foto: 15 Bukti Belanja Baju Online Tak Selalu Berujung Bahagia,287.0,0.0,296.0,32.88888889,35.28671329,10,1.0,Kejahatan Seksual
facebook / cpc,Aroma Latin di Old Trafford,90.0,20.0,296.0,6.577777778,38.39669421,13,0.60214684277702,Humor Belanja
google / cpc,Foto: Para Pemain Nomor 7 di MU pada Era Premier League,81.0,42.85714286,296.0,4.698412698,10.05179283,0,1.0,Pemakaman Seniman
facebook / cpc,Foto: Pernah Lihat Arab Saudi Sehijau Ini?,242.0,100.0,287.0,10.62962963,63.94972067,10,1.0,Kejahatan Seksual
facebook / cpc,"Ibunda Idap Tumor Usus, Kiki Farel Berusaha Tetap Fokus Kerja",242.0,0.0,287.0,0.0,44.72093023,0,1.0,Pemakaman Seniman
facebook / cpc,"Sebelum Dimakamkan, Sys NS Disalatkan di Rumah",251.0,42.85714286,278.0,4.412698413,225.0502793,1,1.0,Razia Driver
facebook / cpc,"Foto: Pesona Yui Aragaki, Aktris Berwajah Cantik Paling Ideal di Jepang",54.0,0.0,278.0,30.88888889,7.215384615,8,1.0,Kontroversi Selebriti
facebook / cpc,"Messi Berjaket Go-Jek, Isyana Kini Jadi 'Korban' Dede Sunandar",233.0,80.0,278.0,6.177777778,81.01176471,-1,0.0,lainnya
facebook / cpc,"Foto: Jelang 100 Hari Kepemimpinan Anies-Sandi, Ini Kebijakannya",171.0,0.0,278.0,0.0,48.45251397,7,0.7005169065644428,Hoax Gempa
facebook / cpc,"Top 5 News: Jakarta Diguncang Gempa, Sys Ns Meninggal Dunia",198.0,0.0,269.0,0.0,74.37563452,1,0.9670253165127932,Razia Driver
facebook / cpc,Sheila Marcia Siap Polisikan Suami Soal KDRT,198.0,0.0,269.0,1.758169935,18.43846154,3,0.8795068300528185,Foto Kreatif
facebook / cpc,Penampakan Rumah di Lebak yang Rusak Akibat Gempa Banten,81.0,0.0,269.0,0.0,13.54132231,-1,0.0,lainnya
facebook / cpc,"Dilaporkan ke Polisi, Laudya Cynthia Bella Akhirnya Buka Suara",242.0,53.33333333,269.0,1.992592593,187.168,3,0.83369501475748,Foto Kreatif
facebook / cpc,Foto: Penampilan Perdana Sanchez dalam Kostum 'Setan Merah',224.0,66.66666667,269.0,9.962962963,62.10588235,1,0.8431842435641004,Razia Driver
facebook / cpc,Okie Agustina Jelaskan Bagaimana Pantau Pergaulan Keisha Alvaro,45.0,0.0,260.0,0.0,17.92031873,3,0.7841903324047665,Foto Kreatif
facebook / cpc,"Messi Berjaket Go-Jek, Isyana Kini Jadi 'Korban' Dede Sunandar",233.0,50.0,260.0,14.44444444,60.71710526,0,0.3870793967643676,Pemakaman Seniman
facebook / cpc,Komentar : Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,224.0,0.0,260.0,1.699346405,8.115384615,15,1.0,Korupsi Proyek
facebook / cpc,"Sys NS Meninggal Dunia, Anak Ungkapkan Kesedihan",144.0,0.0,260.0,0.0,57.9223301,7,0.7194252759473769,Hoax Gempa
facebook / cpc,Ungkapan Duka Cita Untuk Sys NS Deras di Instagram,81.0,7.142857143,251.0,1.992063492,7.896995708,8,0.8012187311476574,Kontroversi Selebriti
facebook / cpc,KPI Panggil Acara Dahsyat,54.0,0.0,251.0,0.0,38.52191235,0,0.6926998175283231,Pemakaman Seniman
facebook / cpc,"50 Tahun Bertakhta, Sultan Brunei Keliling Naik Kereta Kencana Emas",108.0,0.0,251.0,0.0,19.46046512,2,0.834188241727847,Gempa Jakarta
google / cpc,"Gempa 6,4 SR Guncang Ibu Kota",117.0,0.0,251.0,0.0,84.76595745,15,1.0,Korupsi Proyek
google / cpc,Komentar : 2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,189.0,100.0,251.0,27.88888889,143.2,2,1.0,Gempa Jakarta
facebook / cpc,"Komentar : Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",27.0,0.0,242.0,0.0,17.14592275,15,1.0,Korupsi Proyek
facebook / cpc,Sahabat Sebut Sys NS Sebagai Malaikat Pencabut Nyawa,36.0,0.0,242.0,0.0,72.13304721,-1,0.0,lainnya
facebook / cpc,"Sudah Dijodohkan Ibunda, Kiki Farel Cari Cewek yang Cantik dan Tinggi",18.0,0.0,242.0,0.0,28.41517857,5,0.4695372853839291,Gaya Artis
facebook / cpc,Kerennya Foto Editan Para Master Photoshop,180.0,0.0,242.0,0.0,79.96273292,3,0.8210803033150784,Foto Kreatif
facebook / cpc,Foto: Ombak yang Dijuluki Monster,233.0,100.0,242.0,26.88888889,116.9937888,-1,0.0,lainnya
facebook / cpc,"Deretan Casing Ponsel yang Unik, Lucu, Keren, Hingga Aneh",206.0,81.81818182,233.0,2.353535354,127.953271,-1,0.0,lainnya
facebook / cpc,Meme Kocak Sambut Rumah DP Rp 0 Langsung Ramai Bertebaran,233.0,100.0,233.0,25.88888889,361.3636364,-1,0.0,lainnya
google / cpc,"Miris Tapi Kocak, Mereka Tertipu Belanja Online",9.0,0.0,233.0,0.0,24.60714286,8,0.9938926520338076,Kontroversi Selebriti
facebook / cpc,Foto: Bukti Agnez Mo Sudah Bergaya dengan Busana Mahal dari Dulu,206.0,0.0,224.0,12.44444444,49.55263158,6,1.0,Mobil Kepolisian
facebook / cpc,8 Gaya Miliaran Rupiah Bupati Rita yang Ditangkap KPK karena Kasus Suap,27.0,33.33333333,224.0,8.296296296,6.609137056,4,1.0,Maaf Publik
facebook / cpc,"Dion Wiyoko dan Marshall Sastra Tantang Ivan Gunawan, Ada Apa Ya?",54.0,0.0,224.0,0.0,12.88826816,16,1.0,Foto Selebritis
facebook / cpc,Laudya Cynthia Bella Dilaporkan ke Polres Bandung,206.0,66.66666667,224.0,1.185185185,263.9014085,12,1.0,Pembangunan Jakarta
facebook / cpc,Mereka Menolak Jadi Saksi Meringankan untuk dr Bimanesh-Fredrich,81.0,0.0,224.0,0.0,15.11842105,16,1.0,Foto Selebritis
facebook / cpc,Hantu Fake GPS yang Kerap Jadi Momok Grab,171.0,0.0,224.0,4.148148148,12.86607143,1,0.8431842435641004,Razia Driver
facebook / cpc,"Tergeletak di Ruang Tamu, Sys NS Disebut Anak Kena Serangan Jantung",180.0,37.5,224.0,3.111111111,166.5594406,1,0.9965326823642232,Razia Driver
facebook / cpc,"Menteri Agama, Keluarga, dan Puluhan Artis Antar Sys NS Pulang ke 'Rumah Abadi'",153.0,0.0,224.0,0.0,109.8470588,0,0.969477660320755,Pemakaman Seniman
facebook / cpc,"Gempa 6,4 SR Guncang Jakarta",198.0,76.92307692,215.0,1.837606838,101.6853933,6,0.6317615870267682,Mobil Kepolisian
facebook / cpc,Apakah Reza Artamevia Terlibat Pesta Seks Bersama Gatot?,180.0,20.0,215.0,2.388888889,233.64,2,0.9513886890195012,Gempa Jakarta
facebook / cpc,Goyangan Gempa Terasa Kuat di Perkantoran,180.0,100.0,215.0,23.88888889,97.83673469,6,0.8567727095283051,Mobil Kepolisian
facebook / cpc,"Tergeletak di Ruang Tamu, Sys NS Disebut Anak Kena Serangan Jantung",180.0,83.33333333,215.0,1.990740741,178.4494382,11,0.6259474006412328,Pelajar Kriminal
